	latitude	longitude	elevation
X9.IR8.*.SHN	55.23110	160.0802	505.1380
X9.IR8.*.SHE	55.23110	160.0802	505.1380
X9.IR9.*.HHZ	55.31187	159.8641	1089.766
X9.IR9.*.HHN	55.31187	159.8641	1089.766
X9.IR9.*.HHE	55.31187	159.8641	1089.766
X9.IR10.*.HHZ	55.11955	159.9534	267.2440
X9.IR10.*.HHN	55.11955	159.9534	267.2440
X9.IR10.*.HHE	55.11955	159.9534	267.2440
X9.IR11.*.SHZ	56.01252	160.8918	581.3340
X9.IR11.*.SHN	56.01252	160.8918	581.3340
X9.IR11.*.SHE	56.01252	160.8918	581.3340
X9.IR12.*.HHZ	55.92607	160.8755	539.6970
X9.IR12.*.HHN	55.92607	160.8755	539.6970
X9.IR12.*.HHE	55.92607	160.8755	539.6970
X9.IR13.*.SHZ	55.84251	160.8610	540.8200
X9.IR13.*.SHN	55.84251	160.8610	540.8200
X9.IR13.*.SHE	55.84251	160.8610	540.8200
X9.IR14.*.HHZ	55.76649	160.7767	1019.940
X9.IR14.*.HHN	55.76649	160.7767	1019.940
X9.IR14.*.HHE	55.76649	160.7767	1019.940
X9.IR15.*.SHZ	55.68777	160.6998	762.4310
X9.IR15.*.SHN	55.68777	160.6998	762.4310
X9.IR15.*.SHE	55.68777	160.6998	762.4310
X9.IR16.*.HHZ	55.65167	160.5026	433.4300
X9.IR16.*.HHN	55.65167	160.5026	433.4300
X9.IR16.*.HHE	55.65167	160.5026	433.4300
X9.IR17.*.HHZ	56.17823	160.4075	1318.156
X9.IR17.*.HHN	56.17823	160.4075	1318.156
X9.IR17.*.HHE	56.17823	160.4075	1318.156
X9.IR18.*.HHZ	56.20044	160.5937	1349.495
X9.IR18.*.HHN	56.20044	160.5937	1349.495
X9.IR18.*.HHE	56.20044	160.5937	1349.495
X9.IR19.*.HHZ	56.17390	160.7529	1067.770
X9.IR19.*.HHN	56.17390	160.7529	1067.770
X9.IR19.*.HHE	56.17390	160.7529	1067.770
X9.IR20.*.HHZ	56.10005	160.8278	938.9830
X9.IR20.*.HHN	56.10005	160.8278	938.9830
X9.IR20.*.HHE	56.10005	160.8278	938.9830
X9.SV1.*.SHZ	55.63996	160.2447	694.6430
X9.SV1.*.SHN	55.63996	160.2447	694.6430
X9.SV1.*.SHE	55.63996	160.2447	694.6430
X9.SV2.*.HHZ	55.75449	160.0419	207.3160
X9.SV2.*.HHN	55.75449	160.0419	207.3160
X9.SV2.*.HHE	55.75449	160.0419	207.3160
X9.SV3.*.HHZ	55.55764	160.0851	117.2310
X9.SV3.*.HHN	55.55764	160.0851	117.2310
X9.SV3.*.HHE	55.55764	160.0851	117.2310
X9.SV4.*.SHZ	55.88939	159.9505	174.2980
X9.SV4.*.SHN	55.88939	159.9505	174.2980
X9.SV4.*.SHE	55.88939	159.9505	174.2980
X9.SV5.*.HHZ	56.01107	160.0373	235.3170
X9.SV5.*.HHN	56.01107	160.0373	235.3170
X9.SV5.*.HHE	56.01107	160.0373	235.3170
X9.SV6.*.SHZ	55.79492	160.3444	2105.350
X9.SV6.*.SHN	55.79492	160.3444	2105.350
X9.SV6.*.SHE	55.79492	160.3444	2105.350
X9.SV7.*.HHZ	55.79243	160.5344	1300.616
X9.SV7.*.HHN	55.79243	160.5344	1300.616
X9.SV7.*.HHE	55.79243	160.5344	1300.616
X9.SV8.*.SHZ	55.89952	160.4906	1427.915
X9.SV8.*.SHN	55.89952	160.4906	1427.915
X9.SV8.*.SHE	55.89952	160.4906	1427.915
X9.SV9.*.HHZ	55.99524	160.4304	1835.505
X9.SV9.*.HHN	55.99524	160.4304	1835.505
X9.SV9.*.HHE	55.99524	160.4304	1835.505
X9.SV12.*.SHZ	55.54857	160.3577	257.3240
X9.SV12.*.SHN	55.54857	160.3577	257.3240
X9.SV12.*.SHE	55.54857	160.3577	257.3240
X9.SV13.*.HHZ	56.09922	160.6315	2453.950
X9.SV13.*.HHN	56.09922	160.6315	2453.950
X9.SV13.*.HHE	56.09922	160.6315	2453.950
X9.OL1.*.SHZ	55.87776	159.3580	144.0200
X9.OL1.*.SHN	55.87776	159.3580	144.0200
X9.OL1.*.SHE	55.87776	159.3580	144.0200
X9.OL2.*.HHZ	55.88874	159.5436	63.66400
X9.OL2.*.HHN	55.88874	159.5436	63.66400
X9.OL2.*.HHE	55.88874	159.5436	63.66400
X9.OL3.*.SHZ	55.43862	159.6771	82.75000
X9.OL3.*.SHN	55.43862	159.6771	82.75000
X9.OL3.*.SHE	55.43862	159.6771	82.75000
X9.OL4.*.SHZ	55.54932	159.4542	145.8980
X9.OL4.*.SHN	55.54932	159.4542	145.8980
X9.OL4.*.SHE	55.54932	159.4542	145.8980
X9.OL5.*.HHZ	55.29180	159.5659	113.0080
X9.OL5.*.HHN	55.29180	159.5659	113.0080
X9.OL5.*.HHE	55.29180	159.5659	113.0080
X9.OL6.*.HHZ	55.30176	160.2785	1052.565
X9.OL6.*.HHN	55.30176	160.2785	1052.565
X9.OL6.*.HHE	55.30176	160.2785	1052.565
X9.OL7.*.HHZ	56.15683	161.5087	893.4240
X9.OL7.*.HHN	56.15683	161.5087	893.4240
X9.OL7.*.HHE	56.15683	161.5087	893.4240
