	latitude	longitude	elevation
XN.NEP06.*.HHZ	27.88178	85.90677	1217.0
XN.NEP06.*.HHN	27.88178	85.90677	1217.0
XN.NEP06.*.HHE	27.88178	85.90677	1217.0
XN.NEP07.*.HHZ	27.88212	85.90767	1216.0
XN.NEP07.*.HHN	27.88212	85.90767	1216.0
XN.NEP07.*.HHE	27.88212	85.90767	1216.0
XN.NEP10.*.HHZ	27.88159	85.90278	1221.0
XN.NEP10.*.HHN	27.88159	85.90278	1221.0
XN.NEP10.*.HHE	27.88159	85.90278	1221.0
